species;cultivar_variety;family;plant_functional_type;population_year;refkey;gm_original;gm_original_SD;gm_original_SE;number_of_measurements;unit_original;gm_1bar;gm;method;variant;method_reference;air_pressure;PPFD;blue_light;temperature;temperature_type;AnCi_min;AnCi_max;AnCi_n;Ca_gas_exchange;Ca_gm;Ci_calc;rH;VPD;O2;flow_rate;cuvette_size;device_gas_exchange;fluorometer_spectroscope;hour;leaves_used;growth_location;growth_longitude;growth_latitude;growth_elevation;growth_environment;hydroponic;potted;pot_size;growth_irradiance;growth_temperature_day;growth_temperature_night;growth_rH;growth_Ca;growth_daylength;plant_age;An;gs_CO2;Ci;Cc;Ci-Cc;Rd;Rl;photorespiration;Gammastar;Cistar;Vcmax_Ci;Vcmax_Ci_25;Vcmax_Cc;Vcmax_Cc_25;Rubisco_constants_Ci_reference;Rubisco_constants_Cc_reference;Jmax_Ci;Jmax_Cc;TPU;Vpmax;J_fluorescence;kCA_activity;CA_activity;Delta_18O;Delta_13C;delta_13C;bulk_elastic_modulus;K_leaf;K_xylem;K_outside_xylem;N_g_m2;N_%DW;K_g_m2;K_%DW;P_g_m2;P_%DW;N%_Rubisco;N%_bioenergetics;N%_light_harvesting;N%_photosynthetic_apparatus;N%_cell_wall;Soluble_Protein;Rubisco;Rubisco_activity;Rubisco_activation_state;Chl_a;Chl_b;Chl_total;Chl_a/b;leaf_starch_%DW;leaf_starch_g_m2;LMA;leaf_width;T_leaf;D_leaf;T_mesophyll;T_palisade_mesophyll;T_spongy_mesophyll;fias_mesophyll;interveinal_distance;T_epidermis_adaxial;T_epidermis_abaxial;stomatal_index;stomatal_density;stomatal_density_adaxial;stomatal_density_abaxial;stomatal_area;stomatal_area_adaxial;stomatal_area_abaxial;stomatal_length;stomatal_length_adaxial;stomatal_length_abaxial;stomatal_width;T_cw;T_cyt;T_chloroplast;chloroplast_length;chloroplast_width;chloroplast_surface_area;Sm;Sc;Sb;ls_rel;lm_rel;lb_rel;Ls;Lm;location_in_reference;outlier;included_in_Knauer_et_al_2022;mesophyll_thickness;stomatal_conductance;substomatal_conc;compensation_point;ias_conductance;mesophyll_conductance*;d_mesophyll_conductance*;d_stomatal_conductance;d_ias_conductance;gamma;dgamma_low;dgamma_high;tau;dtau_low;dtau_high
Abies alba;;Pinaceae;evergreen gymnosperms;;Peguero-Pina_2012;0,081;;0,011;;mol m-2 s-1;0,081;0,081;C;;Ethier_2004;;1500,0;;25,0;leaf;50,0;1800,0;;400,0;;;;;;;;CIRAS-2;FMS 2;;light-adapted mature shoots;;;;;natural;0;0;;;;;;;;;7,35;0,116;195,0;77,0;118,0;;;;;;;;113,0;113,0;;Bernacchi_2002;;158,0;;;134,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;436,0;;;0,4;;;;;;;;;;;;;;;0,341;1,38;;;;;;17,1;;;;;;;Table 1: gm Ethier;0;1;436,0;0,116;195,0;39,8982;0,7874789183158288;0,04738823147120149;0,004738823147120149;0,011600000000000001;0,07874789183158289;0,2972963043636739;0,042270460461910186;0,041889017275992535;0,3548898405348942;0,026110623007651435;0,025604775420799197
Abies alba;;Pinaceae;evergreen gymnosperms;;Peguero-Pina_2012;0,068;;0,004;;mol m-2 s-1;0,068;0,068;F;variable J;Harley_1992;;1500,0;;25,0;leaf;;;;400,0;400,0;;;;;;;CIRAS-2;FMS 2;;light-adapted mature shoots;;;;;natural;0;0;;;;;;;;;7,35;0,116;195,0;77,0;118,0;;;;;;;;117,0;117,0;;Bernacchi_2002;;138,0;;;134,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;436,0;;;0,4;;;;;;;;;;;;;;;0,341;1,38;;;;;;17,1;;;;;;;Table 1: gm Harley;0;1;436,0;0,116;195,0;39,8982;0,7874789183158288;0,04738823147120149;0,004738823147120149;0,011600000000000001;0,07874789183158289;0,2985030001149955;0,04131490153042977;0,041313968689556224;0,35507292348006936;0,025873542936221128;0,025972435673840444
Abies pinsapo;;Pinaceae;evergreen gymnosperms;;Peguero-Pina_2012;0,14;;0,025;;mol m-2 s-1;0,14;0,14;C;;Ethier_2004;;1500,0;;25,0;leaf;50,0;1800,0;;400,0;;;;;;;;CIRAS-2;FMS 2;;light-adapted mature shoots;;;;;natural;0;0;;;;;;;;;11,54;0,087;181,0;98,0;83,0;;;;;;;;179,0;179,0;;Bernacchi_2002;;222,0;;;177,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;792,0;;;0,1;;;;;;;;;;;;;;;0,248;1,115;;;;;;32,3;;;;;;;Table 1: gm Ethier;0;1;792,0;0,087;181,0;39,8982;0,10837778042477945;0,08178492407609257;0,008178492407609258;0,0087;0,010837778042477946;1,618357400197558;0,22720915155252785;0,22635498844389512;1,6449077986841247;0,18367641710614313;0,18041936098822342
Abies pinsapo;;Pinaceae;evergreen gymnosperms;;Peguero-Pina_2012;0,162;;0,032;;mol m-2 s-1;0,162;0,162;F;variable J;Harley_1992;;1500,0;;25,0;leaf;;;;400,0;400,0;;;;;;;CIRAS-2;FMS 2;;light-adapted mature shoots;;;;;natural;0;0;;;;;;;;;11,54;0,087;181,0;98,0;83,0;;;;;;;;162,0;162,0;;Bernacchi_2002;;213,0;;;177,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;792,0;;;0,1;;;;;;;;;;;;;;;0,248;1,115;;;;;;32,3;;;;;;;Table 1: gm Harley;0;1;792,0;0,087;181,0;39,8982;0,10837778042477945;0,08178492407609257;0,008178492407609258;0,0087;0,010837778042477946;1,626462263071565;0,23026567386657337;0,23185432691114172;1,644544356605137;0,18737727975618323;0,1860440238944836
Abies pinsapo;;Pinaceae;evergreen gymnosperms;;Peguero-Pina_2016b;0,137;;0,016;6,0;mol m-2 s-1;0,137;0,137;F;variable J;Harley_1992;;1500,0;;25,0;leaf;50,0;1800,0;;400,0;400,0;;;;;;;CIRAS-2;FMS II;;light-adapted mature shoots;;358,5;41,08;1150,0;natural;0;0;;;;;;;;;11,5;0,066;;;;;;;;;;;158,0;158,0;;Bernacchi_2002;;221,0;;;171,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;251,0;;;;809,0;;;0,13;;;;;;;;;;;;;;;0,236;0,23;1,37;4,75;;;40,5;31,2;;;;;;;Table 3: open field (OI) measurements;0;1;809,0;0,066;225,75757575757575;39,8982;0,13793048544543007;0,061874737032367615;0,006187473703236762;0,006600000000000001;0,013793048544543008;0,9674593568327182;0,13806918625339049;0,1355122197764146;1,1199467333390232;0,10612227910235994;0,10510857401276108
Abies pinsapo;;Pinaceae;evergreen gymnosperms;;Peguero-Pina_2016b;0,151;;0,01;6,0;mol m-2 s-1;0,151;0,151;C;;Ethier_2004;;1500,0;;25,0;leaf;50,0;1800,0;;400,0;;;;;;;;CIRAS-2;;;light-adapted mature shoots;;358,5;41,08;1150,0;natural;0;0;;;;;;;;;11,5;0,066;;;;;;;;;;;171,0;171,0;;Bernacchi_2002;;203,0;;;171,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;251,0;;;;809,0;;;0,13;;;;;;;;;;;;;;;0,236;0,23;1,37;4,75;;;40,5;31,2;;;;;;;Table 3: open field (OI) measurements;0;1;809,0;0,066;225,75757575757575;39,8982;0,13793048544543007;0,061874737032367615;0,006187473703236762;0,006600000000000001;0,013793048544543008;0,9684594826028737;0,13794850725269692;0,13665384642256206;1,1221430626135322;0,10704723972014452;0,10609353661517185
Acer mono;var. marmoratum;Sapindaceae;deciduous angiosperms;;Hanba_2002;0,065;;;;mol m-2 s-1;0,065;0,066;I;sugar;Scartazza_1998;;740,0;;24,8;leaf;;;;350,0;350,0;;75,0;0,78;;;;;;;;;;;;field conditions;0;1;5,0;;;;;;;;9,9;0,228;;188,8;;;;;;;;;;;;;;;;;;;;;;;;;;;1,644;2,293;;;;;;;;;;;1,87;;;;;0,506;;;;71,7;;;;132,2;;;0,24;;;;;;;561,0;;;;;;;;;;;;;;12,2;8,9;;;;;;;Figure 4c: plants grown in full light (white bars);0;1;132,2;0,228;306,57894736842104;39,8982;1,558279009314832;0,03712303980580604;0,0037123039805806047;0,0228;0,15582790093148322;0,2964225711147372;0,041061082333186116;0,04085826010251126;0,22070038572923295;0,016075109970202395;0,016074678179602897
Acer palmatum;;Sapindaceae;deciduous angiosperms;;Hanba_2002;0,052;;;;mol m-2 s-1;0,052;0,052;I;sugar;Scartazza_1998;;740,0;;24,8;leaf;;;;350,0;350,0;;75,0;0,78;;;;;;;;;;;;field conditions;0;1;5,0;;;;;;;;8,4;0,156;;148,7;;;;;;;;;;;;;;;;;;;;;;;;;;;1,054;1,83;;;;;;;;;;;1,24;;;;;0,371;;;;57,6;;;;113,3;;;0,11;;;;;;;862,0;;;;;;;;;;;;;;10,3;7,5;;;;;;;Figure 4c: plants grown in full light (white bars);0;1;113,3;0,156;296,15384615384613;39,8982;0,8333514766643236;0,03277976554302714;0,003277976554302714;0,015600000000000001;0,08333514766643237;0,37800605853929153;0,05261693433255388;0,05288612090985534;0,28507349965762147;0,020765701429940997;0,020916856986293086
Acer rufinerve;;Sapindaceae;deciduous angiosperms;;Hanba_2002;0,047;;;;mol m-2 s-1;0,047;0,047;I;sugar;Scartazza_1998;;740,0;;24,8;leaf;;;;350,0;350,0;;75,0;0,78;;;;;;;;;;;;field conditions;0;1;5,0;;;;;;;;8,0;0,1;;130,8;;;;;;;;;;;;;;;;;;;;;;;;;;;1,592;2,172;;;;;;;;;;;2,1;;;;;0,355;;;;73,3;;;;212,2;;;0,24;;;;;;;732,0;;;;;;;;;;;;;;18,8;13,8;;;;;;;Figure 4c: plants grown in full light (white bars);0;1;212,2;0,1;270,0;39,8982;0,970803416736196;0,03476722042156993;0,0034767220421569934;0,010000000000000002;0,0970803416736196;0,20790675842788772;0,029033797039625303;0,029270371005151008;0,2716566288505265;0,01966498771880376;0,019288518519951448
Arabidopsis thaliana;;Brassicaceae;C3 annual herbaceous;;Tholen_2008;0,07;;0,02;5,0;mol m-2 s-1;0,07;0,07;C;;Ethier_2004;101,3;1000,0;;25,0;leaf;;;;370,0;;;;;;;;LI-6400;;;;;;;;growth room;0;1;;200,0;26,0;23,0;;;8,0;70,0;9,8;0,2;311,0;217,0;94,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23,2;;198,0;;;;;0,25;;;;;;;;;;;;;;;;;;;;;9,3;5,9;;;;;;;Table 2: Col (Columbia wild type), WL (white light);0;1;163,5065162112186;0,2;311,0;39,8982;1,312412558309648;0,036148782486873934;0,0036148782486873938;0,020000000000000004;0,1312412558309648;0,3080800360268652;0,04382541986785987;0,04345616947463832;0,23762289226937158;0,01711771796478881;0,016854127963074034
